期号,开奖日期,前区1,前区2,前区3,前区4,前区5,后区1,后区2,后区出球顺序1,后区出球顺序2,前区出球顺序1,前区出球顺序2,前区出球顺序3,前区出球顺序4,前区出球顺序5,奖池余额,本期销量,一等奖注数,一等奖单注奖金,二等奖注数,二等奖单注奖金
26108,2026-09-21,01,05,07,21,35,01,04,05,01,21,07,35,04,01,845758402,296206851,3,10000000,85,320463
26107,2026-09-19,02,05,07,14,22,04,10,22,05,14,02,07,04,10,831053727,313508185,3,10000000,77,264830
26106,2026-09-16,14,17,21,25,28,04,06,25,17,21,28,14,06,04,826970066,290236360,3,10000000,71,200438
26105,2026-09-14,10,14,30,33,34,09,12,33,10,14,34,30,09,12,797986461,290941792,3,9415460,48,339276
26104,2026-09-12,01,06,14,15,26,08,09,01,26,15,06,14,09,08,768328090,316250501,7,6952434,110,128072
26103,2026-09-09,03,16,17,32,35,02,12,32,35,03,16,17,12,02,763164025,296391996,3,10000000,68,241603
26102,2026-09-07,01,03,07,27,28,06,07,27,28,07,01,03,06,07,725321799,291295536,1,10000000,183,57598
26101,2026-09-05,09,11,18,26,33,09,11,11,18,33,09,26,09,11,692723356,315133456,10,5927001,167,81242
26100,2026-09-02,02,06,11,15,31,07,08,02,15,06,31,11,08,07,728785802,293430528,6,6733541,109,129804
26099,2026-08-31,02,17,20,29,33,08,09,17,29,33,02,20,09,08,728556727,295696198,4,8305500,98,144001
26098,2026-08-29,07,09,18,19,21,02,09,21,19,09,18,07,02,09,706544163,315878206,15,5050505,211,46996
26097,2026-08-26,03,10,12,20,25,01,09,20,03,25,12,10,01,09,762988475,296031159,7,6840926,152,84016
26096,2026-08-24,08,09,10,11,25,04,12,11,10,09,25,08,12,04,760346715,300992176,9,6561952,222,57893
26095,2026-08-22,04,06,08,10,14,04,05,06,10,04,14,08,04,05,801693149,323275140,6,7103866,200,60688
26094,2026-08-19,05,14,15,17,33,01,07,14,05,33,17,15,01,07,795085879,305764076,3,8380751,89,174914
26093,2026-08-17,08,10,22,26,29,03,10,29,08,22,10,26,03,10,772986652,301981951,10,5848781,165,48915
26092,2026-08-15,12,16,19,29,33,07,09,12,19,16,33,29,09,07,822403232,326419006,4,9601645,97,194094
26091,2026-08-12,03,04,07,12,32,01,02,04,32,07,12,03,01,02,835359281,303722394,3,10000000,65,343183
26090,2026-08-10,09,14,17,19,24,02,09,17,09,24,19,14,02,09,825721619,298321791,2,10000000,93,155846
26089,2026-08-08,03,07,12,14,26,05,11,26,14,07,12,03,05,11,817996545,326458125,3,9058951,150,97508
26088,2026-08-05,03,09,11,24,27,05,11,09,27,03,24,11,05,11,792266898,305815169,2,9662603,160,74485
26087,2026-08-03,05,10,16,24,27,04,10,27,16,24,05,10,04,10,768406558,306098479,9,6547013,172,82652
26086,2026-08-01,10,11,18,22,35,06,12,11,10,35,18,22,06,12,813207389,327985310,2,10000000,121,129265
26085,2026-07-29,03,04,14,28,31,05,07,31,03,14,04,28,05,07,804161465,302145325,2,10000000,94,149583
26084,2026-07-27,13,25,30,32,33,04,05,25,32,13,30,33,04,05,770490757,300483424,8,6621689,81,153450
26083,2026-07-25,14,15,16,23,26,07,09,15,16,23,26,14,09,07,772867559,316550987,8,7215569,135,119029
26082,2026-07-22,16,26,27,28,34,02,06,28,16,26,27,34,06,02,807119056,295623678,5,8286251,76,205390
26081,2026-07-20,08,16,18,24,34,09,12,16,34,08,18,24,12,09,784468403,301607097,5,8031396,125,110123
26080,2026-07-18,05,10,15,21,23,07,08,10,05,23,15,21,08,07,765513154,325550165,10,6006451,173,75312
26079,2026-07-15,06,08,23,26,27,05,12,26,23,06,27,08,05,12,794651243,301975334,5,6673829,111,79445
26078,2026-07-13,02,13,20,25,32,08,11,25,13,20,02,32,08,11,818797138,302935941,5,8216073,181,70136
26077,2026-07-11,04,14,19,24,27,06,07,04,14,24,19,27,07,06,797164073,318922356,2,9470883,141,74426
26076,2026-07-08,15,20,27,28,35,02,11,27,20,15,35,28,11,02,804904837,303115587,4,10000000,113,157623
26075,2026-07-06,01,06,16,18,26,04,10,06,18,01,26,16,10,04,814593833,295227167,3,10000000,89,173463
26074,2026-07-04,01,04,10,23,25,01,12,01,23,10,04,25,12,01,818314176,319733435,6,7752365,115,140052
26073,2026-07-01,04,10,22,23,33,02,12,23,33,04,22,10,02,12,798037522,306363724,6,8427733,129,160748
26072,2026-06-29,01,13,26,29,30,09,11,26,29,13,01,30,11,09,820383228,309759041,5,8484040,67,301895
26071,2026-06-27,05,13,22,26,32,02,03,05,13,26,22,32,02,03,844492276,332658791,1,10000000,179,123704
26070,2026-06-24,04,05,15,21,32,02,11,15,04,05,32,21,11,02,814894461,312722588,1,10000000,112,142147
26069,2026-06-22,12,19,21,24,29,03,10,29,12,21,24,19,03,10,757966457,312134107,8,7110906,98,201724
26068,2026-06-20,03,11,12,21,22,06,10,21,11,03,22,12,10,06,802145380,333899407,5,7366555,212,57893
26067,2026-06-17,06,16,18,19,28,07,11,28,18,16,06,19,07,11,791339917,322509643,6,7300268,158,79968
26066,2026-06-15,10,13,19,21,30,04,05,13,10,19,21,30,05,04,817519004,352461614,2,10000000,106,194605
26065,2026-06-13,04,11,12,13,25,04,08,25,11,13,12,04,08,04,802840285,361984211,6,7598219,189,77875
26064,2026-06-10,03,13,15,17,21,02,07,15,17,21,13,03,02,07,787631261,352495130,4,8286328,103,154532
26063,2026-06-08,03,15,20,29,31,01,12,03,15,29,20,31,12,01,762261291,353853854,5,7715951,79,274025
26062,2026-06-06,07,15,20,24,29,04,10,20,24,15,07,29,10,04,738675961,397538816,15,5747126,304,55984
26061,2026-06-03,10,12,26,31,35,02,12,26,31,10,35,12,12,02,807705563,354547009,4,10000000,114,160534
26060,2026-06-01,22,28,30,31,34,01,05,22,31,28,34,30,01,05,769160539,364299680,37,2645502,98,319459
26059,2026-05-30,06,13,17,19,26,07,08,17,26,19,06,13,08,07,818749861,373161795,3,10000000,269,56494
26058,2026-05-27,07,12,13,18,34,01,05,34,18,13,07,12,01,05,786536913,354634349,5,9961936,118,209761
26057,2026-05-25,23,25,26,27,34,04,10,26,34,27,25,23,10,04,801147297,341310042,4,9617059,158,113112
26056,2026-05-23,06,07,18,21,30,01,05,18,30,06,21,07,01,05,767589409,368991091,6,7155614,151,114339
26055,2026-05-20,09,10,20,33,35,04,11,09,35,20,33,10,04,11,757078646,348746645,4,10000000,83,232027
26054,2026-05-18,02,06,14,22,24,08,11,24,14,06,02,22,08,11,718927617,349381748,13,6280305,101,187940
26053,2026-05-16,02,09,14,20,31,05,09,09,31,14,02,20,05,09,738749152,374349995,14,4901960,133,97647
26052,2026-05-13,02,03,20,28,33,02,12,02,28,33,03,20,12,02,782179260,353399952,9,6295115,201,63296
26051,2026-05-11,13,18,28,32,33,02,11,33,28,13,32,18,02,11,799348751,355675446,4,9612284,135,137851
26050,2026-05-09,06,10,14,23,33,08,10,06,23,10,33,14,10,08,812279268,373660843,6,8052622,97,215818
26049,2026-05-06,01,06,14,15,17,02,03,01,15,06,17,14,02,03,786081563,298483726,6,7126897,69,183708
26048,2026-05-04,11,17,20,23,35,01,10,20,17,23,35,11,10,01,778139138,276914543,7,6806380,87,175445
26047,2026-05-02,09,20,21,23,28,06,11,28,23,20,21,09,11,06,776088008,301530437,5,7415209,97,139095
26046,2026-04-29,01,13,18,27,33,04,07,13,27,01,33,18,07,04,801117818,305905116,6,6930508,84,201825
26045,2026-04-27,01,15,21,26,33,04,07,21,33,15,01,26,04,07,795611859,309445116,7,6675078,86,181174
26044,2026-04-25,03,08,22,26,29,07,10,03,29,22,08,26,10,07,796949218,333443770,8,6329954,168,58053
26043,2026-04-22,08,12,14,19,22,11,12,22,12,14,08,19,11,12,835097420,308301370,1,10000000,86,169385
26042,2026-04-20,02,07,13,19,24,03,08,07,02,19,24,13,08,03,783361004,311873981,5,7688311,260,53840
26041,2026-04-18,24,25,27,29,34,02,06,24,27,25,29,34,02,06,804564900,342918690,6,8170700,94,230708
26040,2026-04-15,06,12,13,21,34,08,09,34,13,12,06,21,08,09,776038688,322412866,6,7492423,118,125628
26039,2026-04-13,09,11,20,26,27,06,09,27,11,09,26,20,06,09,760888094,321747230,11,5717710,175,50714
26038,2026-04-11,08,17,21,33,35,06,07,21,17,35,33,08,06,07,799997856,343632778,2,10000000,174,92288
26037,2026-04-08,07,12,13,28,32,06,08,07,28,32,13,12,08,06,756781635,324524682,5,8402519,133,119807
26036,2026-04-06,04,07,16,26,32,05,08,04,26,16,32,07,05,08,732445104,298882570,9,6291520,114,106441
26035,2026-04-04,02,22,30,33,34,08,12,02,30,34,22,33,08,12,744740092,324023066,11,6715340,91,180483
26034,2026-04-01,11,12,25,26,27,08,11,27,25,11,26,12,11,08,745020716,321281232,6,6785341,215,59275
26033,2026-03-30,03,05,07,09,18,02,10,07,03,18,05,09,10,02,743671788,319640788,12,5620374,250,29556
26032,2026-03-28,03,04,19,26,32,01,12,04,32,03,26,19,12,01,787204235,342713464,6,8149825,141,117451
26031,2026-03-25,06,08,22,29,34,05,07,34,29,06,22,08,05,07,762397267,321190415,9,7576500,82,285678
26030,2026-03-23,02,13,22,28,34,05,12,13,02,34,22,28,05,12,801741816,316922568,8,7605701,97,179985
26029,2026-03-21,03,05,17,33,35,05,07,35,33,03,17,05,05,07,834276729,337467964,6,7877022,144,115812
26028,2026-03-18,15,27,29,30,34,01,10,29,30,34,27,15,10,01,861344045,303460918,1,10000000,63,280368
26027,2026-03-16,09,10,11,12,16,01,11,16,12,09,11,10,01,11,799972392,307838475,7,6985349,166,86031
26026,2026-03-14,10,11,22,26,32,01,08,32,22,10,26,11,01,08,794063793,330044286,3,9638333,119,145339
26025,2026-03-11,03,15,24,28,29,03,07,24,29,28,15,03,03,07,761949362,299297449,10,5872341,147,62745
26024,2026-03-09,02,04,08,10,21,09,12,04,21,10,02,08,09,12,790603786,293616732,3,9889639,138,87504
26023,2026-03-07,09,25,26,27,28,01,08,27,26,25,09,28,08,01,763063925,323009849,6,7177297,109,138525
26022,2026-03-04,05,09,10,18,26,05,06,09,10,05,26,18,05,06,753076287,294728612,10,5746008,261,27678
26021,2026-03-02,05,08,12,14,17,04,05,05,17,08,12,14,05,04,783711295,291691198,7,6463717,161,73420
26020,2026-02-28,01,10,21,23,29,10,12,29,21,01,10,23,10,12,823831821,319278064,3,10000000,77,219344
26019,2026-02-25,12,13,14,16,31,04,12,12,13,14,31,16,12,04,780263624,356165890,8,7528120,72,275339
26018,2026-02-11,09,11,19,30,35,01,12,11,30,09,35,19,12,01,761611230,349431305,7,6692203,86,208790
26017,2026-02-09,04,05,10,23,31,07,12,05,31,10,04,23,07,12,762704025,314171855,6,7044236,104,141471
26016,2026-02-07,08,09,12,19,24,01,06,19,08,12,24,09,01,06,755649051,333666762,13,5925957,243,50303
26015,2026-02-04,01,04,10,13,17,03,11,10,04,13,17,01,03,11,829148795,310086553,4,9339920,98,175350
26014,2026-02-02,16,18,23,34,35,01,06,34,18,23,35,16,06,01,842732986,318884035,2,10000000,81,242159
26013,2026-01-31,03,05,06,23,26,01,04,05,26,23,06,03,01,04,782886373,350779828,10,6149358,409,26110
26012,2026-01-28,01,02,09,22,25,01,06,09,02,25,22,01,06,01,799554979,318917948,5,6986204,131,102374
26011,2026-01-26,14,21,23,29,33,02,10,33,29,14,23,21,02,10,793323030,312938804,3,10000000,74,238777
26010,2026-01-24,02,03,13,18,26,02,09,26,03,13,02,18,02,09,751872266,336186076,4,7802471,182,80971
26009,2026-01-21,05,12,13,14,33,05,08,12,13,33,14,05,05,08,734360129,302386708,5,7330817,144,81886
26008,2026-01-19,03,06,17,21,33,05,11,17,21,03,06,33,05,11,724155773,301922043,4,7691274,151,80101
26007,2026-01-17,01,03,13,20,26,03,10,13,01,20,03,26,03,10,710693230,333462560,18,5482790,213,47028
26006,2026-01-14,05,12,18,23,35,06,12,35,18,12,05,23,06,12,787011243,315815131,8,6674129,217,61900
26005,2026-01-12,02,04,16,23,35,06,11,16,23,02,04,35,06,11,788287446,311138123,8,7117857,77,200399
26004,2026-01-10,05,18,23,25,32,05,09,32,23,18,05,25,09,05,779153160,329175580,11,7203146,174,60927
26003,2026-01-07,02,09,11,15,16,02,04,02,09,11,15,16,02,04,829620750,299733101,7,8930618,122,117604
26002,2026-01-05,04,08,15,20,31,07,08,20,08,04,15,31,07,08,858169056,300101679,6,9775062,125,105467
26001,2026-01-03,07,09,23,27,32,02,08,32,27,07,09,23,08,02,875846392,309467020,13,6570234,193,48202
25150,2025-12-31,13,14,15,28,31,01,05,31,15,13,14,28,01,05,942601223,315770974,4,10000000,148,101123
25149,2025-12-29,24,26,30,31,32,05,12,24,31,32,26,30,05,12,921221227,293718026,1,10000000,77,220057
25148,2025-12-27,03,04,14,30,32,08,12,30,32,03,04,14,12,08,869158981,314824866,2,10000000,52,339083
25147,2025-12-24,06,16,21,25,33,07,08,06,25,16,33,21,08,07,816064823,290531842,1,10000000,85,182730
25146,2025-12-22,06,11,13,16,22,02,03,22,06,11,16,13,03,02,762703697,295258973,4,8749278,90,151069
25145,2025-12-20,05,07,20,22,25,04,05,20,25,07,22,05,05,04,739212071,318998515,12,6856186,169,80943
25144,2025-12-17,02,05,13,15,28,05,08,02,05,28,13,15,05,08,818422787,294039927,15,6101535,176,38680
25143,2025-12-15,03,04,18,24,29,07,12,24,03,29,18,04,07,12,891182916,292194189,2,10000000,90,153076
25142,2025-12-13,09,10,14,27,29,02,09,14,27,29,10,09,09,02,850180600,305166365,3,10000000,166,72919
25141,2025-12-10,04,09,24,28,29,02,10,24,09,04,29,28,02,10,830232368,293217299,6,9722298,80,178828
25140,2025-12-08,04,05,13,18,34,02,08,18,34,04,05,13,08,02,850018674,294883884,3,10000000,88,135097
25139,2025-12-06,08,18,22,30,35,01,04,22,08,18,35,30,04,01,830587732,319213811,4,9709642,63,276299
25138,2025-12-03,01,03,19,21,23,07,11,03,19,23,21,01,11,07,795955875,299205645,6,7222472,79,205985
25137,2025-12-01,07,08,09,11,22,05,11,11,08,09,07,22,05,11,784972571,306419813,7,6774667,185,64465
25136,2025-11-29,07,11,15,16,23,09,11,16,23,15,11,07,11,09,783829598,332166578,11,9163843,181,102716
25135,2025-11-26,02,10,16,28,32,01,07,10,02,32,16,28,07,01,813180323,310594999,5,7889103,127,118308
25134,2025-11-24,07,12,18,27,33,09,10,33,07,12,18,27,09,10,793585609,311134788,8,8817317,245,50171
25133,2025-11-22,04,11,23,27,35,07,11,23,27,11,35,04,11,07,818773870,337536466,9,9025594,90,179647
25132,2025-11-19,01,09,10,12,19,06,07,09,19,12,01,10,06,07,850074477,313565367,8,8610168,125,97627
25131,2025-11-17,03,08,25,29,32,09,12,08,29,25,03,32,09,12,878666212,312224838,3,10000000,134,102430
25130,2025-11-15,01,13,16,27,29,02,11,13,01,27,29,16,02,11,855509809,347978820,5,10000000,98,202925
25129,2025-11-12,03,09,14,28,35,02,04,35,09,28,03,14,02,04,826944600,327577708,3,10000000,86,179172
25128,2025-11-10,03,06,26,30,33,11,12,06,03,30,33,26,12,11,806116343,335180121,9,9682656,113,137766
25127,2025-11-08,04,05,19,28,29,05,08,28,04,05,19,29,05,08,827515757,353038355,36,5427642,284,22884
25126,2025-11-05,01,08,18,27,30,06,07,01,27,30,18,08,06,07,1033170236,333017418,8,8218910,134,106490
25125,2025-11-03,10,11,13,19,35,04,11,11,19,10,35,13,04,11,1071539155,333554750,4,10000000,116,145574
25124,2025-11-01,06,09,14,26,27,08,09,14,06,09,26,27,08,09,1062300760,367907521,18,6587901,211,50264
25123,2025-10-29,08,13,24,25,31,04,10,31,08,13,24,25,10,04,1136294713,333755324,9,10000000,145,116755
25122,2025-10-27,02,03,06,16,17,04,05,06,03,02,16,17,05,04,1153025367,332420638,9,8046946,119,126281
25121,2025-10-25,02,03,08,13,21,07,12,13,08,03,02,21,12,07,1201113534,356833346,10,9198484,114,150688
25120,2025-10-22,11,13,22,26,35,02,08,35,11,22,13,26,08,02,1229721100,325832725,8,9990487,113,132079
25119,2025-10-20,08,15,27,29,31,01,07,29,15,08,31,27,07,01,1247363714,319880731,3,10000000,83,194720
25118,2025-10-18,02,08,09,12,21,04,05,08,12,21,09,02,04,05,1209569201,319584678,4,10000000,188,68761
25117,2025-10-15,05,10,18,21,29,05,07,29,10,21,05,18,07,05,1200034223,302232387,12,7523798,249,49320
25116,2025-10-13,02,06,16,22,29,08,12,16,02,29,06,22,12,08,1245943636,298992508,0,0,122,113528
25115,2025-10-11,03,12,14,21,35,01,05,03,21,12,35,14,05,01,1188143074,330363634,3,10000000,79,233905
25114,2025-10-08,03,08,09,12,16,01,05,16,12,08,03,09,01,05,1144042317,286469363,8,8266633,110,101160
25113,2025-10-06,01,14,18,28,35,02,03,35,18,01,14,28,03,02,1174480897,302539540,14,8165613,82,193019
25112,2025-09-29,03,04,21,23,24,09,12,23,03,21,04,24,09,12,1222244291,319054991,7,10000000,113,165203
25111,2025-09-27,02,09,14,21,26,02,12,02,21,09,14,26,02,12,1227497634,331165537,5,10000000,152,101012
25110,2025-09-24,01,15,22,30,31,02,08,22,30,01,31,15,08,02,1216735503,299730589,6,10000000,101,147187
25109,2025-09-22,04,08,10,13,26,09,10,26,08,04,13,10,10,09,1212757053,313350591,3,10000000,157,95406
25108,2025-09-20,14,18,21,24,29,03,06,21,29,24,18,14,06,03,1188449971,341209503,6,10000000,125,122587
25107,2025-09-17,05,07,08,15,33,06,10,15,07,05,08,33,10,06,1185080983,314311008,7,10000000,111,115382
25106,2025-09-15,05,06,11,26,29,05,10,29,06,05,11,26,10,05,1199200033,314630148,12,7501830,136,93464
25105,2025-09-13,15,16,25,28,34,10,12,28,16,34,25,15,12,10,1251025275,341440186,3,10000000,75,280822
25104,2025-09-10,02,06,09,22,34,02,08,34,06,09,02,22,08,02,1199979893,315640944,4,10000000,95,170407
25103,2025-09-08,05,08,19,32,34,04,05,05,34,08,32,19,05,04,1180433357,310233728,4,10000000,162,85006
25102,2025-09-06,09,10,13,26,28,02,04,10,09,28,26,13,04,02,1157865480,336362587,1,10000000,100,174162
25101,2025-09-03,05,07,19,26,32,08,09,07,26,05,32,19,09,08,1106707324,307833370,9,8239676,141,91574
25100,2025-09-01,26,28,32,34,35,02,07,32,34,26,28,35,02,07,1140476606,313027593,2,10000000,82,208143
25099,2025-08-30,06,12,20,26,31,02,04,31,20,12,06,26,04,02,1089336924,333985688,12,7989550,301,43436
25098,2025-08-27,01,07,09,10,23,10,12,07,09,10,23,01,12,10,1129247143,308524554,1,10000000,88,169934
25097,2025-08-25,05,24,25,32,34,01,09,25,32,05,34,24,09,01,1077551661,310927488,3,10000000,63,281700
25096,2025-08-23,02,11,17,22,24,07,09,24,22,02,17,11,07,09,1040644815,332437847,12,7695748,223,51758
25095,2025-08-20,07,13,14,19,27,06,10,13,19,14,07,27,10,06,1082529387,305061816,8,8079377,201,54829
25094,2025-08-18,04,09,17,30,33,05,09,30,09,33,17,04,05,09,1116595093,307470270,13,8274828,176,70315
25093,2025-08-16,01,07,09,16,30,02,05,16,09,01,07,30,05,02,1157754344,330705608,6,10000000,126,108929
25092,2025-08-13,04,10,17,25,32,05,07,10,04,25,32,17,05,07,1153953579,305765437,14,6332890,216,55809
25091,2025-08-11,01,19,22,25,27,03,10,25,27,01,22,19,10,03,1254338103,307088100,2,10000000,49,362728
25090,2025-08-09,06,14,19,22,27,01,04,06,19,14,22,27,04,01,1200005188,331564816,7,9645715,221,59626
25089,2025-08-06,02,11,12,32,34,03,10,32,02,34,12,11,10,03,1218712702,301829705,68,5572232,170,87488
25088,2025-08-04,08,09,10,11,35,05,11,35,10,09,11,08,11,05,1540665716,298062525,9,7817069,158,72241
25087,2025-08-02,05,13,14,16,20,03,08,20,05,16,13,14,08,03,1579681545,315319154,14,6980988,149,78989
25086,2025-07-30,02,06,23,24,33,01,10,02,33,06,23,24,01,10,1646600667,295578823,2,10000000,45,379316
25085,2025-07-28,02,05,09,14,33,04,09,33,02,05,14,09,04,09,1595323742,294227352,25,5907764,71,217226
25084,2025-07-26,09,11,13,18,29,04,11,29,13,18,11,09,04,11,1790261423,315027700,3,10000000,89,148783
25083,2025-07-23,12,17,18,20,34,02,05,17,18,34,20,12,05,02,1769075337,296169217,3,10000000,98,145052
25082,2025-07-21,02,03,04,12,26,01,08,26,04,02,12,03,01,08,1735099174,296090839,4,10000000,112,110917
25081,2025-07-19,01,04,06,15,18,02,03,01,04,15,18,06,03,02,1745616944,321712458,5,10000000,75,229037
25080,2025-07-16,09,10,18,22,24,03,12,22,18,24,09,10,03,12,1723670049,299028201,2,10000000,132,101935
25079,2025-07-14,02,14,32,34,35,05,11,34,32,02,35,14,11,05,1685844586,300459382,3,10000000,42,387849
25078,2025-07-12,07,10,15,21,24,05,06,24,10,07,15,21,06,05,1653989426,322049886,5,10000000,193,66462
25077,2025-07-09,12,14,16,19,28,01,04,19,12,14,28,16,04,01,1664896849,302633813,2,10000000,61,297434
25076,2025-07-07,11,18,22,25,29,04,12,22,25,29,11,18,12,04,1612133474,306337461,7,10000000,122,124331
25075,2025-07-05,08,12,16,19,35,06,09,12,35,08,16,19,06,09,1627185578,327099927,9,8126105,142,86993
25074,2025-07-02,02,11,15,18,21,05,10,11,18,02,15,21,10,05,1661629014,304472528,10,8367964,80,163981
25073,2025-06-30,01,04,17,33,34,03,09,01,17,04,34,33,03,09,1695259566,306793454,11,7635760,158,76908
25072,2025-06-28,04,07,15,24,29,01,04,07,04,15,24,29,04,01,1739661640,337329044,6,10000000,131,125166
25071,2025-06-25,01,08,25,31,33,05,11,08,01,25,31,33,05,11,1743326978,313848778,3,10000000,65,211711
25070,2025-06-23,08,09,15,20,22,04,12,22,09,08,20,15,12,04,1718532211,312961169,2,10000000,112,123539
25069,2025-06-21,04,06,07,33,34,09,10,07,04,33,06,34,10,09,1677561945,338663590,3,10000000,71,269001
25068,2025-06-18,01,04,17,20,22,04,10,20,04,01,17,22,10,04,1628402089,318966997,2,10000000,98,159002
25067,2025-06-16,06,10,12,21,22,01,06,12,22,06,21,10,01,06,1588528359,321766533,5,10000000,156,101197
25066,2025-06-14,15,18,27,28,34,03,06,34,27,15,28,18,03,06,1579075869,339059066,3,10000000,95,178917
25065,2025-06-11,07,25,32,33,35,04,09,33,25,35,32,07,09,04,1539171327,322427160,4,10000000,103,123549
25064,2025-06-09,05,10,18,20,34,01,08,20,18,10,34,05,01,08,1534694449,328463659,2,10000000,107,160826
25063,2025-06-07,05,18,26,29,32,07,10,05,29,32,18,26,07,10,1482278557,353640087,11,7822918,102,122650
25062,2025-06-04,14,20,27,28,29,06,10,20,28,27,29,14,10,06,1525360041,331453922,3,10000000,104,172762
25061,2025-06-02,02,11,16,23,28,05,10,28,02,16,23,11,05,10,1489857621,326041766,10,8139831,141,99022
25060,2025-05-31,12,14,19,33,34,01,07,34,12,19,33,14,01,07,1530054632,344759819,2,10000000,97,205497
25059,2025-05-28,03,09,10,11,26,01,02,26,10,11,09,03,01,02,1472810541,330253002,4,10000000,165,81352
25058,2025-05-26,06,11,15,21,23,01,07,21,11,23,15,06,07,01,1457374217,337041717,3,10000000,147,119413
25057,2025-05-24,09,10,11,12,29,01,10,12,10,29,11,09,10,01,1415654588,379533383,4,10000000,191,100021
25056,2025-05-21,12,15,28,29,32,08,11,29,32,15,28,12,11,08,1375155244,354948673,2,10000000,109,158329
25055,2025-05-19,08,10,25,29,30,01,02,25,29,08,10,30,01,02,1329842896,373248241,6,10000000,110,194591
25054,2025-05-17,03,12,16,21,29,01,02,29,16,03,12,21,02,01,1305673257,400498726,6,10000000,143,157222
25053,2025-05-14,14,23,29,30,33,06,12,23,29,14,33,30,12,06,1281475209,378116432,7,10000000,88,238046
25052,2025-05-12,02,04,11,29,30,02,08,04,29,30,02,11,08,02,1261675356,384489687,3,10000000,218,85037
25051,2025-05-10,02,04,13,29,31,05,12,13,29,31,04,02,05,12,1208341380,402596942,5,10000000,156,89634
25050,2025-05-07,15,18,20,21,34,04,10,18,21,34,20,15,10,04,1220697850,380353203,7,10000000,137,113717
25049,2025-05-05,09,20,22,29,34,03,08,34,29,22,20,09,08,03,1233463084,350534405,10,9368639,78,227748
25048,2025-05-03,02,06,17,23,35,06,11,35,17,23,06,02,06,11,1258998703,364105069,2,10000000,126,140526
25047,2025-04-30,03,10,11,12,21,02,03,03,21,12,11,10,02,03,1202271493,367385544,9,10000000,167,105515
25046,2025-04-28,04,10,15,20,34,04,07,04,34,15,10,20,07,04,1213336580,367246953,4,10000000,110,123790
25045,2025-04-26,08,11,21,23,27,03,08,21,11,27,08,23,08,03,1207089477,394950774,10,9199763,140,126988
25044,2025-04-23,15,17,21,22,26,02,08,15,17,26,21,22,02,08,1237807812,368611600,4,10000000,132,123720
25043,2025-04-21,03,16,20,21,27,09,11,20,03,21,16,27,09,11,1212466180,362168053,2,10000000,143,132632
25042,2025-04-19,06,08,11,18,20,05,11,20,08,18,06,11,11,05,1157421361,391234678,2,10000000,164,105826
25041,2025-04-16,03,04,21,22,27,05,11,21,27,04,22,03,05,11,1110680827,372136085,8,8448564,109,128409
25040,2025-04-14,02,08,16,31,32,04,12,31,32,16,02,08,12,04,1147506477,365388846,4,10000000,154,100484
25039,2025-04-12,03,07,14,15,19,06,10,07,14,19,15,03,10,06,1128975871,380283087,4,10000000,99,192059
25038,2025-04-09,07,08,20,26,34,08,09,26,34,07,20,08,08,09,1098668135,367355129,4,10000000,145,106912
25037,2025-04-07,05,20,23,27,31,04,06,31,20,23,27,05,06,04,1078059212,302429281,3,10000000,78,202241
25036,2025-04-05,04,07,13,27,30,02,06,07,30,04,13,27,06,02,1044099471,303323074,4,10000000,87,162675
25035,2025-04-02,22,25,28,29,30,04,08,30,22,25,28,29,04,08,1034539140,290834566,6,10000000,85,167168
25034,2025-03-31,04,15,22,28,33,06,08,15,28,04,33,22,06,08,1046884586,291102580,12,6578028,143,81044
25033,2025-03-29,01,02,08,10,33,10,12,08,02,01,33,10,10,12,1132503712,312033249,3,10000000,107,144899
25032,2025-03-26,12,22,25,27,28,01,02,22,28,27,25,12,02,01,1094382586,303333312,0,0,62,261176
25031,2025-03-24,14,18,20,25,35,01,07,18,35,20,14,25,07,01,1024377872,311643171,4,10000000,72,247703
25030,2025-03-22,03,09,14,24,28,06,07,14,09,28,24,03,06,07,995094280,338162194,9,7699188,178,72009
25029,2025-03-19,05,09,26,31,33,03,10,09,31,33,26,05,10,03,1043234947,314474524,2,10000000,144,100702
25028,2025-03-17,06,08,20,25,29,03,07,06,29,25,08,20,07,03,1006966152,313737340,7,8904156,103,127524
25027,2025-03-15,03,06,11,13,20,01,11,20,11,06,13,03,11,01,1035665607,333487900,8,10000000,117,151904
25026,2025-03-12,02,03,07,17,30,01,09,30,03,07,17,02,09,01,1039296516,313696373,1,10000000,80,161515
25025,2025-03-10,03,06,08,10,25,03,07,03,25,06,10,08,03,07,993864523,313678335,7,7559158,137,75409
25024,2025-03-08,06,12,13,16,23,05,08,12,06,13,23,16,08,05,1035953603,331854703,14,6364847,132,65034
25023,2025-03-05,10,20,22,24,25,09,12,24,20,25,10,22,12,09,1115584483,302766777,4,10000000,93,178006
25022,2025-03-03,01,11,13,27,29,04,10,11,29,13,01,27,10,04,1103298037,298217183,7,9280845,102,115866
25021,2025-03-01,10,18,25,30,35,03,12,25,10,35,30,18,12,03,1123599303,335200766,7,10000000,115,117927
25020,2025-02-26,01,09,12,22,29,05,09,01,22,09,29,12,09,05,1132471892,300087089,8,8494966,146,67527
25019,2025-02-24,07,08,11,18,23,03,11,07,08,11,18,23,03,11,1159248699,296357549,7,8207321,199,56096
25018,2025-02-22,01,07,09,20,28,01,04,20,07,09,28,01,04,01,1191928481,314802603,16,7273028,84,182563
